time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1733763417.99067855,0.00361585,2706,0.00019552,0.00000000,0,0.00000000,16723,16817,125,0.00012198
1733763418.05967999,0.00638415,2725,0.00052594,0.00000000,0,0.00000000,16817,17038,369,0.00009469
1733763418.05967999,0.00543001,2725,0.00038064,0.00000000,0,0.00000000,17038,17075,179,0.00010044
1733763418.12868142,0.00487083,2737,0.00043884,0.00000000,0,0.00000000,17075,17207,284,0.00013869
1733763418.12868142,0.00421560,2737,0.00025509,0.00000000,0,0.00000000,17207,17263,139,0.00009252
1733763418.19768286,0.00603669,2873,0.00054485,0.00000000,0,0.00000000,17263,17433,330,0.00010491
1733763418.19768286,0.00602569,2873,0.00033734,0.00000000,0,0.00000000,17433,17490,169,0.00007609
1733763418.26668453,0.00518439,2774,0.00059620,0.00000000,0,0.00000000,17490,17560,342,0.00010014
1733763418.26668453,0.00518684,2774,0.00048227,0.00000000,0,0.00000000,17560,17589,189,0.00011091
1733763418.33568597,0.00605154,2867,0.00041213,0.00000000,0,0.00000000,17589,17697,242,0.00013026
1733763418.33568597,0.00636714,2867,0.00037197,0.00000000,0,0.00000000,17697,17679,99,0.00006310
1733763418.40468740,0.00681742,3059,0.00060052,0.00000000,0,0.00000000,17679,17852,378,0.00009851
1733763418.40468740,0.00617656,3059,0.00044778,0.00000000,0,0.00000000,17852,17880,197,0.00013347
1733763418.47368884,0.00500669,2667,0.00042596,0.00000000,0,0.00000000,17880,18014,270,0.00010481
1733763418.47368884,0.00508148,2667,0.00035099,0.00000000,0,0.00000000,18014,18019,112,0.00009183
1733763418.54569030,0.00781280,2871,0.00091593,0.00000000,0,0.00000000,18019,18122,304,0.00013730
1733763418.54569030,0.00665386,2871,0.00030415,0.00000000,0,0.00000000,18122,18185,166,0.00009758
1733763418.61469173,0.00609698,2955,0.00069868,0.00000000,0,0.00000000,18185,18372,331,0.00009717
